Title,tagged_review,cluster,action_cluster
통합된 광파 오븐이나 큐커가 좋다는 분들이 있어서 헷갈려요 햇반 돌리거나 생선구이 고기 구이 치킨 튀기기 고구마 굽기 계란찜 정도 같고 쿠키 만들기도,"['통합', '크다', '헷갈리다', '햇반', '돌리다', '생선', '구이', '고기', '구이', '치킨', '튀기다', '고구마', '굽다', '계란찜', '쿠키', '만들기']",0,2
이게 제가 쓰는 엘지 광파 오븐입니다 거의 엘지 광파 오븐 시조새 모델에 가깝습니다 년도 됐는데 아마 정도 같습니다 당시 되게 주고,"['시조새', '모델', '가깝다', '년도', '돼다', '당시', '주다']",0,3
광파 오븐 빌트인 알뜰하게 먼저 바쁘신 분들을 위해 미리 말씀드리면 광파 오븐 빌트인 알뜰 정보는 아래 남겨드렸니 필요하신 분들은 참고해 보시길 바랄게요,"['빌트', '알뜰하다', '먼저', '바쁘다', '위해', '미리', '말씀드리다', '빌트', '알뜰', '아래', '남기다', '드리다', '필요하다', '참고', '바라다']",0,2
저는 신혼 가전을 웬만하면 맞추었어요 베스트 숍에서 맞췄는데 광파 오븐 신형은 너무 비싸다고 판단되어 묶어서 구매하지 않았답니다 광파 오븐 구형을,"['신혼', '웬만하다', '맞추다', '맞추다', '신형', '비싸다', '판단', '묶다', '않다', '구형']",0,1
안녕하세요 전자 광파 오븐 사용 후기입니다 일단 저희는 무조건 광파 오븐을 구매하려고 했었던 입장이었습니다 사실 저만,"['사용', '무조건', '입장', '사실']",0,2
디오스 광파 오븐 알뜰하게 먼저 바쁘신 분들을 위해 미리 말씀드리면 디오스 광파 오븐 알뜰 정보는 아래 남겨드렸니 필요하신 분들은 참고해 보시길 바랄게요,"['알뜰하다', '먼저', '바쁘다', '위해', '미리', '말씀드리다', '알뜰', '아래', '남기다', '드리다', '필요하다', '참고', '바라다']",0,2
광파 오븐 전자레인지 알뜰하게 먼저 바쁘신 분들을 위해 미리 말씀드리면 광파 오븐 전자레인지 알뜰 정보는 아래 남겨드렸니 필요하신 분들은 참고해 보시길 바랄게요,"['알뜰하다', '먼저', '바쁘다', '위해', '미리', '말씀드리다', '알뜰', '아래', '남기다', '드리다', '필요하다', '참고', '바라다']",0,2
광파 오븐 이번에 구매하는데 반찬통 구매 걸리는 있어서요,"['반찬', '걸리다']",0,1
광파 오븐 쓰고 있어요 싱크대 하부장에 설치되어 있고 바로 위에 인덕션인데 가끔 동시에 사용할 불편하더라고요 지금까지는 에어 프라이어 없고 오븐을 많이 써서,"['싱크대', '하부', '설치', '가끔', '동시', '사용', '불편하다', '지금', '없다']",0,2
광파 오븐 에어 프라이어 핫딜해요 광파 오븐 에어 프라이어 찾아보고 계시죠 아마 글을 클릭하신 분들은 보고 주문해야 되지 또는 어떤 인기 있는 거야 라는,"['핫딜해', '찾아보다', '계시', '클릭', '보고', '주문', '인기']",0,1
위와 같은 빌트인 제품들은 장에 차게 들어가잖아요 근데 아래 제품은 윗면에서 센티 띄우라더라고요 지금 있는 빌트인 광파 오븐을 철거하고 장을 새로 짜는데 센티 띄우고,"['빌트', '차다', '들어가다', '아래', '띄우다', '덥다', '지금', '빌트', '철거', '새롭다', '짜다', '띄우다']",0,2
광파 오븐 에어 프라이어 알뜰하게 광파 오븐 에어 프라이어 찾아보고 계시죠 아마 글을 클릭하신 분들은 금액은 얼마인지 또는 성능은 괜찮은지 라는 고민을 갖고 계실,"['알뜰하다', '찾아보다', '계시', '클릭', '금액', '성능', '괜찮다', '고민', '갖다', '계시다']",0,1
엘지 전자에서 광파 오븐 구매했어요 모델명,['모델'],0,3
배달책자 쿠폰 교환 이용 부탁드립니다 드림 받는 횟수는 회까지 어길 정지 채팅 거래 거래 드림 하신 받으신 모두 정지 처리 전자레인지로 겸용,"['배달', '책자', '쿠폰', '교환', '이용', '부탁드리다', '드림', '횟수', '어기다', '정지', '채팅', '거래', '거래', '드림', '정지', '처리', '겸용']",0,1
